name,data_size,seed,avg_node_size
out_place_n0,1000000,1,21271
out_place_n0,1010000,1,19663
out_place_n0,1020000,1,14254
out_place_n0,1030000,1,11112
out_place_n0,1040000,1,9918
out_place_n0,1050000,1,8543
out_place_n0,1060000,1,7735
out_place_n0,1070000,1,7071
out_place_n0,1080000,1,6768
out_place_n0,1090000,1,6417
out_place_n0,1100000,1,6251
out_place_n0,1110000,1,5962
out_place_n0,1120000,1,5817
out_place_n0,1130000,1,5527
out_place_n0,1140000,1,5515
out_place_n0,1150000,1,5346
out_place_n0,1160000,1,5248
out_place_n0,1170000,1,5107
out_place_n0,1180000,1,4970
out_place_n0,1190000,1,4806
out_place_n0,1200000,1,4690
out_place_n0,1210000,1,4577
out_place_n0,1220000,1,4431
out_place_n0,1230000,1,4281
out_place_n0,1240000,1,4167
out_place_n0,1250000,1,4086
out_place_n0,1260000,1,4058
out_place_n0,1270000,1,4037
out_place_n0,1280000,1,4046
out_place_n0,1290000,1,4049
out_place_n0,1300000,1,3928
out_place_n0,1310000,1,3863
out_place_n0,1320000,1,3840
out_place_n0,1330000,1,3853
out_place_n0,1340000,1,3787
out_place_n0,1350000,1,3773
out_place_n0,1360000,1,3716
out_place_n0,1370000,1,3680
out_place_n0,1380000,1,3634
out_place_n0,1390000,1,3601
out_place_n0,1400000,1,3534
out_place_n0,1410000,1,3540
out_place_n0,1420000,1,3492
out_place_n0,1430000,1,3433
out_place_n0,1440000,1,3448
out_place_n0,1450000,1,3407
out_place_n0,1460000,1,3432
out_place_n0,1470000,1,3375
out_place_n0,1480000,1,3379
out_place_n0,1490000,1,3352
out_place_n0,1500000,1,3379
out_place_n0,1510000,1,3352
out_place_n0,1520000,1,3355
out_place_n0,1530000,1,3336
out_place_n0,1540000,1,3324
out_place_n0,1550000,1,3264
out_place_n0,1560000,1,3270
out_place_n0,1570000,1,3269
out_place_n0,1580000,1,3222
out_place_n0,1590000,1,3201
out_place_n0,1600000,1,3201
out_place_n0,1610000,1,3171
out_place_n0,1620000,1,3133
out_place_n0,1630000,1,3128
out_place_n0,1640000,1,3123
out_place_n0,1650000,1,3117
out_place_n0,1660000,1,3085
out_place_n0,1670000,1,3067
out_place_n0,1680000,1,3061
out_place_n0,1690000,1,3064
out_place_n0,1700000,1,3042
out_place_n0,1710000,1,3055
out_place_n0,1720000,1,3046
out_place_n0,1730000,1,3025
out_place_n0,1740000,1,3009
out_place_n0,1750000,1,3005
out_place_n0,1760000,1,2999
out_place_n0,1770000,1,2995
out_place_n0,1780000,1,2971
out_place_n0,1790000,1,2967
out_place_n0,1800000,1,2964
out_place_n0,1810000,1,2962
out_place_n0,1820000,1,2973
out_place_n0,1830000,1,2965
out_place_n0,1840000,1,2950
out_place_n0,1850000,1,2932
out_place_n0,1860000,1,2933
out_place_n0,1870000,1,2937
out_place_n0,1880000,1,2934
out_place_n0,1890000,1,2937
out_place_n0,1900000,1,2947
out_place_n0,1910000,1,2925
out_place_n0,1920000,1,2928
out_place_n0,1930000,1,2925
out_place_n0,1940000,1,2919
out_place_n0,1950000,1,2908
out_place_n0,1960000,1,2904
out_place_n0,1970000,1,2882
out_place_n0,1980000,1,2880
out_place_n0,1990000,1,2843
out_place_n0,2000000,1,2842
out_place_n2,1000000,1,21271
out_place_n2,1010000,1,19684
out_place_n2,1020000,1,18083
out_place_n2,1030000,1,18587
out_place_n2,1040000,1,19501
out_place_n2,1050000,1,17417
out_place_n2,1060000,1,19890
out_place_n2,1070000,1,18053
out_place_n2,1080000,1,17346
out_place_n2,1090000,1,16931
out_place_n2,1100000,1,17642
out_place_n2,1110000,1,19037
out_place_n2,1120000,1,19217
out_place_n2,1130000,1,18425
out_place_n2,1140000,1,16936
out_place_n2,1150000,1,18134
out_place_n2,1160000,1,19568
out_place_n2,1170000,1,18170
out_place_n2,1180000,1,19562
out_place_n2,1190000,1,21154
out_place_n2,1200000,1,18956
out_place_n2,1210000,1,18530
out_place_n2,1220000,1,17096
out_place_n2,1230000,1,16503
out_place_n2,1240000,1,17605
out_place_n2,1250000,1,17500
out_place_n2,1260000,1,17599
out_place_n2,1270000,1,19421
out_place_n2,1280000,1,21557
out_place_n2,1290000,1,21397
out_place_n2,1300000,1,19875
out_place_n2,1310000,1,19734
out_place_n2,1320000,1,19268
out_place_n2,1330000,1,20353
out_place_n2,1340000,1,19019
out_place_n2,1350000,1,17209
out_place_n2,1360000,1,18000
out_place_n2,1370000,1,18398
out_place_n2,1380000,1,19046
out_place_n2,1390000,1,20038
out_place_n2,1400000,1,21063
out_place_n2,1410000,1,19772
out_place_n2,1420000,1,19883
out_place_n2,1430000,1,20912
out_place_n2,1440000,1,23509
out_place_n2,1450000,1,21222
out_place_n2,1460000,1,21341
out_place_n2,1470000,1,22183
out_place_n2,1480000,1,22663
out_place_n2,1490000,1,20023
out_place_n2,1500000,1,19377
out_place_n2,1510000,1,18333
out_place_n2,1520000,1,20156
out_place_n2,1530000,1,21746
out_place_n2,1540000,1,20992
out_place_n2,1550000,1,21377
out_place_n2,1560000,1,19893
out_place_n2,1570000,1,21414
out_place_n2,1580000,1,21531
out_place_n2,1590000,1,20013
out_place_n2,1600000,1,20669
out_place_n2,1610000,1,19785
out_place_n2,1620000,1,20685
out_place_n2,1630000,1,20007
out_place_n2,1640000,1,22990
out_place_n2,1650000,1,21326
out_place_n2,1660000,1,20127
out_place_n2,1670000,1,21569
out_place_n2,1680000,1,21986
out_place_n2,1690000,1,21569
out_place_n2,1700000,1,21401
out_place_n2,1710000,1,20725
out_place_n2,1720000,1,21134
out_place_n2,1730000,1,22060
out_place_n2,1740000,1,22210
out_place_n2,1750000,1,20989
out_place_n2,1760000,1,20604
out_place_n2,1770000,1,19170
out_place_n2,1780000,1,18636
out_place_n2,1790000,1,18727
out_place_n2,1800000,1,19046
out_place_n2,1810000,1,19349
out_place_n2,1820000,1,18677
out_place_n2,1830000,1,19560
out_place_n2,1840000,1,21040
out_place_n2,1850000,1,22719
out_place_n2,1860000,1,21270
out_place_n2,1870000,1,19369
out_place_n2,1880000,1,18712
out_place_n2,1890000,1,17895
out_place_n2,1900000,1,17343
out_place_n2,1910000,1,18265
out_place_n2,1920000,1,18339
out_place_n2,1930000,1,19224
out_place_n2,1940000,1,18895
out_place_n2,1950000,1,18815
out_place_n2,1960000,1,18716
out_place_n2,1970000,1,18852
out_place_n2,1980000,1,18760
out_place_n2,1990000,1,18665
out_place_n2,2000000,1,18259
out_place_n8,1000000,1,21271
out_place_n8,1010000,1,22349
out_place_n8,1020000,1,18726
out_place_n8,1030000,1,22244
out_place_n8,1040000,1,17295
out_place_n8,1050000,1,19404
out_place_n8,1060000,1,19928
out_place_n8,1070000,1,21745
out_place_n8,1080000,1,19882
out_place_n8,1090000,1,20434
out_place_n8,1100000,1,19841
out_place_n8,1110000,1,22570
out_place_n8,1120000,1,19938
out_place_n8,1130000,1,22519
out_place_n8,1140000,1,20285
out_place_n8,1150000,1,21635
out_place_n8,1160000,1,22202
out_place_n8,1170000,1,22850
out_place_n8,1180000,1,21794
out_place_n8,1190000,1,20428
out_place_n8,1200000,1,21735
out_place_n8,1210000,1,20425
out_place_n8,1220000,1,23822
out_place_n8,1230000,1,22697
out_place_n8,1240000,1,22062
out_place_n8,1250000,1,23963
out_place_n8,1260000,1,23271
out_place_n8,1270000,1,22601
out_place_n8,1280000,1,22768
out_place_n8,1290000,1,23397
out_place_n8,1300000,1,21952
out_place_n8,1310000,1,23312
out_place_n8,1320000,1,23960
out_place_n8,1330000,1,24556
out_place_n8,1340000,1,23073
out_place_n8,1350000,1,23641
out_place_n8,1360000,1,25523
out_place_n8,1370000,1,24372
out_place_n8,1380000,1,25451
out_place_n8,1390000,1,24775
out_place_n8,1400000,1,25369
out_place_n8,1410000,1,28086
out_place_n8,1420000,1,24822
out_place_n8,1430000,1,26901
out_place_n8,1440000,1,26086
out_place_n8,1450000,1,25340
out_place_n8,1460000,1,23483
out_place_n8,1470000,1,22177
out_place_n8,1480000,1,22684
out_place_n8,1490000,1,24697
out_place_n8,1500000,1,23363
out_place_n8,1510000,1,26869
out_place_n8,1520000,1,24383
out_place_n8,1530000,1,26281
out_place_n8,1540000,1,23970
out_place_n8,1550000,1,24895
out_place_n8,1560000,1,21305
out_place_n8,1570000,1,24825
out_place_n8,1580000,1,23486
out_place_n8,1590000,1,23314
out_place_n8,1600000,1,22411
out_place_n8,1610000,1,23936
out_place_n8,1620000,1,24818
out_place_n8,1630000,1,25365
out_place_n8,1640000,1,25142
out_place_n8,1650000,1,24928
out_place_n8,1660000,1,24714
out_place_n8,1670000,1,27296
out_place_n8,1680000,1,25755
out_place_n8,1690000,1,27167
out_place_n8,1700000,1,26031
out_place_n8,1710000,1,27491
out_place_n8,1720000,1,26006
out_place_n8,1730000,1,26131
out_place_n8,1740000,1,25137
out_place_n8,1750000,1,24570
out_place_n8,1760000,1,25387
out_place_n8,1770000,1,26319
out_place_n8,1780000,1,24297
out_place_n8,1790000,1,24749
out_place_n8,1800000,1,22153
out_place_n8,1810000,1,22531
out_place_n8,1820000,1,24152
out_place_n8,1830000,1,25694
out_place_n8,1840000,1,24801
out_place_n8,1850000,1,24941
out_place_n8,1860000,1,26084
out_place_n8,1870000,1,25160
out_place_n8,1880000,1,24332
out_place_n8,1890000,1,26918
out_place_n8,1900000,1,24603
out_place_n8,1910000,1,24689
out_place_n8,1920000,1,24539
out_place_n8,1930000,1,24058
out_place_n8,1940000,1,24783
out_place_n8,1950000,1,24603
out_place_n8,1960000,1,25707
out_place_n8,1970000,1,26896
out_place_n8,1980000,1,22679
out_place_n8,1990000,1,23334
out_place_n8,2000000,1,24599
baseline,1000000,1,21271
baseline,1010000,1,21484
baseline,1020000,1,21697
baseline,1030000,1,21910
baseline,1040000,1,22122
baseline,1050000,1,22335
baseline,1060000,1,22548
baseline,1070000,1,22761
baseline,1080000,1,22973
baseline,1090000,1,23186
baseline,1100000,1,23399
baseline,1110000,1,23612
baseline,1120000,1,23825
baseline,1130000,1,24037
baseline,1140000,1,24250
baseline,1150000,1,24463
baseline,1160000,1,24676
baseline,1170000,1,24888
baseline,1180000,1,25101
baseline,1190000,1,25314
baseline,1200000,1,25527
baseline,1210000,1,25739
baseline,1220000,1,25952
baseline,1230000,1,26165
baseline,1240000,1,26378
baseline,1250000,1,26590
baseline,1260000,1,26803
baseline,1270000,1,27016
baseline,1280000,1,27229
baseline,1290000,1,27442
baseline,1300000,1,27654
baseline,1310000,1,27867
baseline,1320000,1,28080
baseline,1330000,1,28293
baseline,1340000,1,28505
baseline,1350000,1,28718
baseline,1360000,1,28931
baseline,1370000,1,29144
baseline,1380000,1,29356
baseline,1390000,1,29569
baseline,1400000,1,29782
baseline,1410000,1,29995
baseline,1420000,1,30208
baseline,1430000,1,30420
baseline,1440000,1,30633
baseline,1450000,1,30846
baseline,1460000,1,31059
baseline,1470000,1,31271
baseline,1480000,1,31484
baseline,1490000,1,31697
baseline,1500000,1,31910
baseline,1510000,1,32122
baseline,1520000,1,32335
baseline,1530000,1,32548
baseline,1540000,1,32761
baseline,1550000,1,32973
baseline,1560000,1,33186
baseline,1570000,1,33399
baseline,1580000,1,33612
baseline,1590000,1,33825
baseline,1600000,1,34037
baseline,1610000,1,34250
baseline,1620000,1,34463
baseline,1630000,1,34676
baseline,1640000,1,34888
baseline,1650000,1,35101
baseline,1660000,1,35314
baseline,1670000,1,35527
baseline,1680000,1,35739
baseline,1690000,1,35952
baseline,1700000,1,36165
baseline,1710000,1,36378
baseline,1720000,1,36590
baseline,1730000,1,36803
baseline,1740000,1,37016
baseline,1750000,1,37229
baseline,1760000,1,37442
baseline,1770000,1,37654
baseline,1780000,1,37867
baseline,1790000,1,38080
baseline,1800000,1,38293
baseline,1810000,1,38505
baseline,1820000,1,38718
baseline,1830000,1,38931
baseline,1840000,1,39144
baseline,1850000,1,39356
baseline,1860000,1,39569
baseline,1870000,1,39782
baseline,1880000,1,39995
baseline,1890000,1,40208
baseline,1900000,1,40420
baseline,1910000,1,40633
baseline,1920000,1,40846
baseline,1930000,1,41059
baseline,1940000,1,41271
baseline,1950000,1,41484
baseline,1960000,1,41697
baseline,1970000,1,41910
baseline,1980000,1,42122
baseline,1990000,1,42335
baseline,2000000,1,42548
out_place_n0,1000000,2,24384
out_place_n0,1010000,2,18960
out_place_n0,1020000,2,15151
out_place_n0,1030000,2,13296
out_place_n0,1040000,2,11612
out_place_n0,1050000,2,10422
out_place_n0,1060000,2,9232
out_place_n0,1070000,2,8839
out_place_n0,1080000,2,7775
out_place_n0,1090000,2,6937
out_place_n0,1100000,2,6342
out_place_n0,1110000,2,6047
out_place_n0,1120000,2,5838
out_place_n0,1130000,2,5683
out_place_n0,1140000,2,5503
out_place_n0,1150000,2,5495
out_place_n0,1160000,2,5293
out_place_n0,1170000,2,5237
out_place_n0,1180000,2,5101
out_place_n0,1190000,2,5025
out_place_n0,1200000,2,4861
out_place_n0,1210000,2,4783
out_place_n0,1220000,2,4676
out_place_n0,1230000,2,4710
out_place_n0,1240000,2,4729
out_place_n0,1250000,2,4624
out_place_n0,1260000,2,4626
out_place_n0,1270000,2,4555
out_place_n0,1280000,2,4563
out_place_n0,1290000,2,4563
out_place_n0,1300000,2,4531
out_place_n0,1310000,2,4440
out_place_n0,1320000,2,4379
out_place_n0,1330000,2,4298
out_place_n0,1340000,2,4112
out_place_n0,1350000,2,3992
out_place_n0,1360000,2,3999
out_place_n0,1370000,2,3926
out_place_n0,1380000,2,3848
out_place_n0,1390000,2,3786
out_place_n0,1400000,2,3790
out_place_n0,1410000,2,3675
out_place_n0,1420000,2,3639
out_place_n0,1430000,2,3603
out_place_n0,1440000,2,3614
out_place_n0,1450000,2,3602
out_place_n0,1460000,2,3539
out_place_n0,1470000,2,3543
out_place_n0,1480000,2,3485
out_place_n0,1490000,2,3487
out_place_n0,1500000,2,3459
out_place_n0,1510000,2,3418
out_place_n0,1520000,2,3412
out_place_n0,1530000,2,3385
out_place_n0,1540000,2,3360
out_place_n0,1550000,2,3340
out_place_n0,1560000,2,3290
out_place_n0,1570000,2,3240
out_place_n0,1580000,2,3189
out_place_n0,1590000,2,3197
out_place_n0,1600000,2,3182
out_place_n0,1610000,2,3167
out_place_n0,1620000,2,3170
out_place_n0,1630000,2,3139
out_place_n0,1640000,2,3109
out_place_n0,1650000,2,3115
out_place_n0,1660000,2,3109
out_place_n0,1670000,2,3081
out_place_n0,1680000,2,3100
out_place_n0,1690000,2,3071
out_place_n0,1700000,2,3074
out_place_n0,1710000,2,3062
out_place_n0,1720000,2,3018
out_place_n0,1730000,2,3015
out_place_n0,1740000,2,3009
out_place_n0,1750000,2,3015
out_place_n0,1760000,2,2964
out_place_n0,1770000,2,2958
out_place_n0,1780000,2,2960
out_place_n0,1790000,2,2957
out_place_n0,1800000,2,2953
out_place_n0,1810000,2,2937
out_place_n0,1820000,2,2926
out_place_n0,1830000,2,2930
out_place_n0,1840000,2,2916
out_place_n0,1850000,2,2917
out_place_n0,1860000,2,2929
out_place_n0,1870000,2,2916
out_place_n0,1880000,2,2919
out_place_n0,1890000,2,2910
out_place_n0,1900000,2,2905
out_place_n0,1910000,2,2903
out_place_n0,1920000,2,2915
out_place_n0,1930000,2,2913
out_place_n0,1940000,2,2928
out_place_n0,1950000,2,2918
out_place_n0,1960000,2,2926
out_place_n0,1970000,2,2931
out_place_n0,1980000,2,2927
out_place_n0,1990000,2,2927
out_place_n0,2000000,2,2914
out_place_n2,1000000,2,24384
out_place_n2,1010000,2,23930
out_place_n2,1020000,2,23628
out_place_n2,1030000,2,23860
out_place_n2,1040000,2,24662
out_place_n2,1050000,2,19020
out_place_n2,1060000,2,19881
out_place_n2,1070000,2,17150
out_place_n2,1080000,2,19208
out_place_n2,1090000,2,18660
out_place_n2,1100000,2,19171
out_place_n2,1110000,2,17811
out_place_n2,1120000,2,18553
out_place_n2,1130000,2,17815
out_place_n2,1140000,2,19525
out_place_n2,1150000,2,24353
out_place_n2,1160000,2,22208
out_place_n2,1170000,2,21164
out_place_n2,1180000,2,20228
out_place_n2,1190000,2,21523
out_place_n2,1200000,2,22961
out_place_n2,1210000,2,21879
out_place_n2,1220000,2,22884
out_place_n2,1230000,2,20054
out_place_n2,1240000,2,20244
out_place_n2,1250000,2,20389
out_place_n2,1260000,2,19312
out_place_n2,1270000,2,20051
out_place_n2,1280000,2,20875
out_place_n2,1290000,2,18881
out_place_n2,1300000,2,18741
out_place_n2,1310000,2,19728
out_place_n2,1320000,2,19303
out_place_n2,1330000,2,20665
out_place_n2,1340000,2,20175
out_place_n2,1350000,2,19175
out_place_n2,1360000,2,17110
out_place_n2,1370000,2,17687
out_place_n2,1380000,2,19048
out_place_n2,1390000,2,20329
out_place_n2,1400000,2,21426
out_place_n2,1410000,2,20032
out_place_n2,1420000,2,21386
out_place_n2,1430000,2,20914
out_place_n2,1440000,2,21669
out_place_n2,1450000,2,21497
out_place_n2,1460000,2,19359
out_place_n2,1470000,2,19467
out_place_n2,1480000,2,20432
out_place_n2,1490000,2,21786
out_place_n2,1500000,2,20426
out_place_n2,1510000,2,20011
out_place_n2,1520000,2,21902
out_place_n2,1530000,2,20043
out_place_n2,1540000,2,18439
out_place_n2,1550000,2,17916
out_place_n2,1560000,2,18460
out_place_n2,1570000,2,19288
out_place_n2,1580000,2,18709
out_place_n2,1590000,2,18174
out_place_n2,1600000,2,17497
out_place_n2,1610000,2,17778
out_place_n2,1620000,2,17503
out_place_n2,1630000,2,16050
out_place_n2,1640000,2,16798
out_place_n2,1650000,2,17267
out_place_n2,1660000,2,19174
out_place_n2,1670000,2,19092
out_place_n2,1680000,2,19894
out_place_n2,1690000,2,19110
out_place_n2,1700000,2,19432
out_place_n2,1710000,2,18089
out_place_n2,1720000,2,16955
out_place_n2,1730000,2,18299
out_place_n2,1740000,2,17316
out_place_n2,1750000,2,18326
out_place_n2,1760000,2,18440
out_place_n2,1770000,2,20013
out_place_n2,1780000,2,19902
out_place_n2,1790000,2,20212
out_place_n2,1800000,2,19881
out_place_n2,1810000,2,20445
out_place_n2,1820000,2,20573
out_place_n2,1830000,2,20241
out_place_n2,1840000,2,18866
out_place_n2,1850000,2,20908
out_place_n2,1860000,2,21535
out_place_n2,1870000,2,21126
out_place_n2,1880000,2,20999
out_place_n2,1890000,2,19998
out_place_n2,1900000,2,19280
out_place_n2,1910000,2,19982
out_place_n2,1920000,2,19673
out_place_n2,1930000,2,19754
out_place_n2,1940000,2,20780
